iter	Passed	Remaining
0	2	2811
1	5	2666
2	7	2603
3	10	2559
4	12	2527
5	15	2509
6	17	2493
7	20	2535
8	22	2519
9	25	2504
10	27	2493
11	30	2494
12	32	2486
13	35	2493
14	37	2483
15	40	2472
16	42	2456
17	44	2438
18	46	2408
19	48	2378
20	50	2351
21	52	2328
22	54	2304
23	56	2283
24	58	2264
25	60	2254
26	62	2236
27	63	2219
28	65	2204
29	67	2194
30	69	2181
31	71	2169
32	73	2156
33	75	2146
34	77	2135
35	79	2123
36	81	2113
37	83	2109
38	85	2100
39	87	2090
40	88	2081
41	91	2088
42	95	2134
43	98	2141
44	101	2146
45	103	2146
46	106	2151
47	108	2151
48	110	2150
49	113	2151
50	116	2164
51	118	2165
52	122	2180
53	124	2180
54	126	2179
55	129	2180
56	132	2186
57	134	2186
58	137	2188
59	139	2186
60	142	2185
61	144	2183
62	146	2182
63	149	2187
64	152	2191
65	154	2189
66	157	2188
67	159	2186
68	161	2184
69	164	2185
70	166	2183
71	168	2175
72	170	2166
73	172	2158
74	174	2150
75	176	2142
76	178	2135
77	180	2129
78	182	2125
79	184	2118
80	186	2111
81	187	2104
82	189	2097
83	191	2090
84	193	2083
85	195	2079
86	197	2074
87	199	2070
88	201	2065
89	203	2060
90	205	2054
91	207	2048
92	209	2042
93	211	2039
94	213	2033
95	215	2028
96	217	2022
97	219	2016
98	220	2011
99	222	2006
100	224	2001
101	226	1996
102	228	1992
103	230	1987
104	232	1983
105	234	1978
106	236	1973
107	238	1968
108	240	1963
109	242	1962
110	244	1959
111	246	1955
112	248	1950
113	250	1945
114	252	1941
115	254	1936
116	255	1931
117	257	1927
118	260	1925
119	262	1921
120	263	1917
121	265	1913
122	267	1908
123	269	1904
124	271	1899
125	273	1896
126	275	1892
127	277	1888
128	279	1884
129	280	1880
130	282	1876
131	284	1872
132	286	1868
133	288	1865
134	290	1861
135	292	1859
136	294	1855
137	296	1852
138	298	1848
139	300	1844
140	302	1840
141	304	1838
142	306	1834
143	308	1832
144	310	1829
145	312	1825
146	313	1821
147	315	1818
148	317	1815
149	319	1812
150	321	1808
151	323	1804
152	325	1801
153	327	1798
154	329	1795
155	331	1791
156	333	1789
157	335	1786
158	337	1782
159	338	1779
160	340	1776
161	342	1773
162	344	1770
163	346	1766
164	348	1764
165	350	1761
166	352	1757
167	354	1754
168	356	1752
169	358	1748
170	360	1745
171	361	1742
172	363	1739
173	365	1736
174	367	1733
175	369	1730
176	371	1727
177	373	1724
178	375	1721
179	377	1718
180	379	1715
181	381	1712
182	382	1709
183	384	1706
184	386	1703
185	388	1701
186	390	1698
187	392	1695
188	398	1707
189	400	1706
190	402	1705
191	405	1705
192	407	1705
193	411	1708
194	416	1718
195	418	1717
196	421	1717
197	423	1716
198	426	1715
199	428	1713
200	430	1712
201	433	1711
202	435	1709
203	438	1709
204	440	1709
205	443	1707
206	445	1706
207	447	1705
208	450	1704
209	452	1703
210	455	1702
211	457	1701
212	460	1699
213	462	1698
214	464	1696
215	467	1695
216	469	1695
217	472	1693
218	474	1691
219	476	1688
220	478	1685
221	480	1682
222	481	1679
223	484	1677
224	486	1674
225	488	1671
226	490	1668
227	492	1665
228	493	1662
229	495	1659
230	498	1658
231	500	1656
232	502	1653
233	504	1650
234	506	1647
235	507	1644
236	509	1641
237	511	1638
238	513	1636
239	515	1633
240	517	1630
241	519	1627
242	521	1625
243	523	1622
244	525	1618
245	527	1615
246	529	1613
247	531	1610
248	533	1608
249	535	1605
250	537	1603
251	539	1600
252	541	1597
253	542	1594
254	545	1592
255	546	1589
256	548	1586
257	550	1584
258	552	1581
259	554	1578
260	556	1575
261	558	1572
262	560	1569
263	562	1567
264	563	1564
265	566	1562
266	568	1559
267	570	1557
268	571	1554
269	573	1551
270	575	1549
271	577	1546
272	579	1543
273	581	1541
274	583	1538
275	585	1536
276	587	1533
277	589	1530
278	591	1528
279	593	1526
280	595	1523
281	597	1520
282	599	1518
283	601	1515
284	602	1512
285	604	1509
286	606	1507
287	608	1505
288	610	1502
289	612	1499
290	614	1497
291	616	1494
292	618	1492
293	620	1489
294	622	1487
295	624	1484
296	626	1481
297	627	1479
298	629	1477
299	631	1474
300	633	1471
301	635	1469
302	638	1469
303	640	1466
304	642	1463
305	644	1461
306	646	1459
307	648	1456
308	650	1454
309	652	1451
310	654	1449
311	655	1446
312	657	1443
313	659	1441
314	661	1439
315	663	1436
316	665	1433
317	667	1432
318	669	1429
319	671	1427
320	673	1424
321	675	1422
322	677	1419
323	679	1417
324	681	1414
325	683	1412
326	685	1410
327	687	1407
328	689	1405
329	690	1402
330	692	1400
331	694	1398
332	697	1396
333	699	1393
334	700	1391
335	702	1389
336	704	1386
337	706	1384
338	708	1381
339	710	1379
340	712	1377
341	714	1375
342	716	1372
343	718	1370
344	720	1367
345	722	1365
346	724	1362
347	726	1360
348	728	1358
349	730	1356
350	732	1353
351	734	1351
352	735	1348
353	737	1346
354	739	1344
355	741	1342
356	743	1339
357	745	1337
358	747	1334
359	749	1332
360	751	1329
361	753	1327
362	755	1325
363	757	1322
364	759	1320
365	761	1318
366	763	1316
367	764	1313
368	766	1311
369	768	1308
370	770	1306
371	772	1303
372	774	1302
373	776	1299
374	778	1297
375	780	1295
376	782	1292
377	784	1290
378	786	1288
379	788	1285
380	790	1284
381	792	1281
382	794	1279
383	796	1277
384	798	1274
385	799	1272
386	801	1270
387	803	1267
388	806	1266
389	808	1263
390	810	1261
391	811	1259
392	813	1256
393	815	1254
394	817	1252
395	819	1249
396	821	1247
397	823	1245
398	825	1243
399	827	1240
400	829	1238
401	831	1236
402	832	1233
403	834	1231
404	836	1229
405	838	1227
406	840	1224
407	842	1222
408	844	1220
409	846	1217
410	848	1215
411	849	1213
412	851	1210
413	853	1208
414	855	1206
415	857	1203
416	859	1201
417	861	1199
418	863	1196
419	864	1194
420	866	1192
421	868	1189
422	870	1187
423	872	1185
424	874	1183
425	876	1180
426	878	1178
427	880	1176
428	882	1174
429	884	1172
430	886	1170
431	888	1168
432	890	1166
433	892	1163
434	894	1161
435	896	1159
436	900	1160
437	903	1159
438	906	1158
439	909	1157
440	911	1155
441	914	1154
442	917	1153
443	920	1152
444	923	1151
445	925	1149
446	928	1148
447	930	1146
448	933	1145
449	936	1144
450	938	1142
451	941	1141
452	944	1140
453	946	1138
454	949	1136
455	952	1135
456	954	1134
457	956	1132
458	959	1131
459	962	1129
460	964	1127
461	967	1126
462	970	1125
463	972	1123
464	974	1121
465	977	1120
466	979	1118
467	982	1116
468	985	1115
469	987	1113
470	990	1112
471	992	1110
472	995	1108
473	998	1107
474	1000	1106
475	1003	1104
476	1005	1102
477	1007	1099
478	1008	1097
479	1010	1095
480	1012	1092
481	1014	1090
482	1016	1088
483	1018	1086
484	1020	1083
485	1022	1081
486	1024	1079
487	1026	1076
488	1028	1074
489	1029	1072
490	1032	1069
491	1034	1068
492	1036	1065
493	1038	1063
494	1040	1061
495	1041	1058
496	1043	1056
497	1045	1054
498	1047	1052
499	1049	1049
500	1051	1047
501	1053	1045
502	1055	1042
503	1057	1040
504	1059	1038
505	1061	1035
506	1062	1033
507	1065	1031
