iter	RMSE
224	0.4397282796
225	0.4392334054
226	0.438694513
227	0.4381186789
228	0.4376838943
229	0.4374403316
230	0.4369623148
231	0.4364286819
232	0.4359102031
233	0.4356405946
234	0.4351469741
235	0.4348839278
236	0.43443561
237	0.4341264785
238	0.4335488195
239	0.4332940602
240	0.4329006423
241	0.4324521925
242	0.4322141528
243	0.4317715575
244	0.4315090514
245	0.4312498362
246	0.4310158711
247	0.4306103071
248	0.4301626864
249	0.4298766396
250	0.4294431181
251	0.4290593474
252	0.4286727351
253	0.4281563277
254	0.4278354683
255	0.4273218674
256	0.4268562476
257	0.4266217244
258	0.4262420757
259	0.4259379071
260	0.4255680583
261	0.4253950374
262	0.4249202828
263	0.4244607651
264	0.4243075022
265	0.4238707033
266	0.4234625778
267	0.4232117931
268	0.4229541171
269	0.4226178359
270	0.4222207018
271	0.421876805
272	0.4216220309
273	0.4212222672
274	0.4208598249
275	0.4205141708
276	0.4200529635
277	0.41963456
278	0.4191924527
279	0.4189018371
280	0.4187595511
281	0.4185909602
282	0.4183633041
283	0.4182660495
284	0.4179289738
285	0.4175894717
286	0.41710613
287	0.416901494
288	0.4164993853
289	0.4162191187
290	0.4159689535
291	0.4155633779
292	0.4152836386
293	0.4150059349
294	0.4147916242
295	0.4143843508
296	0.4141218792
297	0.4137057013
298	0.413410936
299	0.4131185806
300	0.4127509184
301	0.4124373509
302	0.4120557425
303	0.4116177382
304	0.411214335
305	0.4107976127
306	0.4103878219
307	0.4101323488
308	0.4098881418
309	0.4097997896
310	0.4094784714
311	0.4091041172
312	0.4088458164
313	0.4086455017
314	0.4083016039
315	0.407965804
316	0.4077432901
317	0.4076016754
318	0.4073748797
319	0.4070775168
320	0.4067198045
321	0.4063711976
322	0.4059738283
323	0.4056441731
324	0.4053193032
325	0.4050055596
326	0.4047912234
327	0.4044637504
328	0.4042030517
329	0.4038071117
330	0.4036201835
331	0.4033052347
332	0.4029654672
333	0.4027472569
334	0.4023780388
335	0.4019304939
336	0.4016031441
337	0.4013569203
338	0.4011430864
339	0.4007946342
340	0.4005615741
341	0.4001538753
342	0.400031164
343	0.3998719046
344	0.3994153229
345	0.3992109542
346	0.3987738783
347	0.398455615
348	0.3979853035
349	0.397720077
350	0.3974457959
351	0.3971046895
352	0.3967529655
353	0.3963352216
354	0.3959986216
355	0.3956692312
356	0.3952458578
357	0.3948480045
358	0.3944847332
359	0.3942167587
360	0.3939054932
361	0.3935715563
362	0.3933473607
363	0.3930520496
364	0.3926750418
365	0.3923432165
366	0.3920478301
367	0.3919190821
368	0.3917158483
369	0.3913655582
370	0.3909970374
371	0.390623187
372	0.3902438184
373	0.3900479296
374	0.3897393326
375	0.3896329307
376	0.3894461117
377	0.3891275127
378	0.3888431325
379	0.3885144814
380	0.3882787635
381	0.3879115971
382	0.3877179828
383	0.3873593764
384	0.3869552401
385	0.3866298361
386	0.386360495
387	0.3861070727
388	0.3858400326
389	0.3855255508
390	0.3853390665
391	0.3850274516
392	0.3848995115
393	0.384736728
394	0.3844963654
395	0.384150621
396	0.3840062785
397	0.3838457137
398	0.3837022044
399	0.3834978866
400	0.3831735576
401	0.3828536908
402	0.3825966634
403	0.3824443456
404	0.382132607
405	0.3818395074
406	0.3816414541
407	0.381408595
408	0.3812262349
409	0.3810552383
410	0.3807453875
411	0.3804407103
412	0.380258639
413	0.3800883653
414	0.3799717842
415	0.3797694286
416	0.3795594775
417	0.3793625401
418	0.3790297017
419	0.3788344211
420	0.3786992531
421	0.3785008101
422	0.3782244345
423	0.3778878551
424	0.3777064851
425	0.377516665
426	0.3772647025
427	0.3770239129
428	0.3768891644
429	0.3766899029
430	0.3764226419
431	0.376203359
432	0.3760441117
433	0.3757917596
434	0.3755150159
435	0.3753800418
436	0.3753416313
437	0.3751036979
438	0.3748417418
439	0.3746062916
440	0.3744555957
441	0.3743168768
442	0.3740918449
443	0.373770754
444	0.3734788104
445	0.3733003616
446	0.3731103992
447	0.3729415058
448	0.3727085487
449	0.3724618305
450	0.3723056176
451	0.372056048
452	0.3717497402
453	0.3715465061
454	0.3712561255
455	0.3710336021
456	0.3708004509
457	0.3706641347
458	0.3705529389
459	0.3702365745
460	0.3699539315
461	0.3697785172
462	0.3695653814
463	0.3694444663
464	0.3692954388
465	0.3690354888
466	0.3687644337
467	0.3685032443
468	0.3682853741
469	0.3679108017
470	0.3675218441
471	0.3674190807
472	0.3672185781
473	0.3669907367
474	0.3667098766
475	0.3666254079
476	0.366522247
477	0.3663583281
478	0.3661345851
479	0.3659237959
480	0.3658732032
481	0.3657272444
482	0.3654773535
483	0.3653674883
484	0.365260502
485	0.3650974488
486	0.3647594758
487	0.3645387627
488	0.3643890171
489	0.3641777099
490	0.3639173133
491	0.3636371714
492	0.3635274583
493	0.3633164457
494	0.3630433548
495	0.3629508143
496	0.3628260652
497	0.3627286257
498	0.3625148063
499	0.3622720578
500	0.3620436907
501	0.3619171526
502	0.3617060044
503	0.3615930336
504	0.3613358986
505	0.3611922998
506	0.3609983298
507	0.3607090959
508	0.3605073829
509	0.3603636769
510	0.3601658645
511	0.3599063186
512	0.3597041307
513	0.3595729195
514	0.3592984176
515	0.3591404756
516	0.3590190369
517	0.3587549211
518	0.3585115376
519	0.3584520237
520	0.3581491096
521	0.3579174049
522	0.3578090147
523	0.3577238772
524	0.3574903947
525	0.3573419202
526	0.3571329445
527	0.3570166447
528	0.3568067656
529	0.3566724303
530	0.3565450781
531	0.3564139311
532	0.356147021
533	0.3559407786
534	0.355727042
535	0.3555791274
536	0.3553765423
537	0.3551346291
538	0.354932611
539	0.35481179
540	0.3545859629
541	0.3543807365
542	0.3542113026
543	0.3540176432
544	0.3537533442
545	0.3534540331
546	0.3533762304
547	0.3533163868
548	0.3531883474
549	0.3530000814
550	0.352755485
551	0.3525323361
552	0.3523164193
553	0.3521256115
554	0.3519021216
555	0.3517916892
556	0.3515419809
557	0.3513015205
558	0.3512146297
559	0.3510337187
560	0.3508755604
561	0.3506919045
562	0.3504718118
563	0.3503207027
564	0.3501840403
565	0.3501098017
566	0.3500427415
567	0.3497983958
568	0.3495971909
569	0.3494723468
570	0.3493973087
571	0.3491747303
572	0.3490527828
573	0.3488930997
574	0.3487468049
575	0.3485662764
576	0.3483515644
577	0.3481763549
578	0.3480498553
579	0.3479832827
580	0.3478290503
581	0.347582259
582	0.3474169856
583	0.347168343
584	0.347007013
585	0.3467670026
586	0.3465566328
587	0.3463345047
588	0.3460803167
589	0.3458416739
590	0.3456285358
591	0.3453524358
592	0.3451523958
593	0.344939809
594	0.3447796192
595	0.3445090536
596	0.3442038976
597	0.3441307901
598	0.3439872008
599	0.343853816
600	0.3436983064
601	0.3435136579
602	0.3433586405
603	0.3431526561
604	0.3429844995
605	0.342882024
606	0.3427011348
607	0.342453636
608	0.3423711958
609	0.3421331418
610	0.3418730552
611	0.3417368138
612	0.3415257843
613	0.3413302284
614	0.341122177
615	0.340964373
616	0.3408267848
617	0.3406687827
618	0.340397041
619	0.3401442532
620	0.3399425294
621	0.3398629801
622	0.3397017699
623	0.3395421784
624	0.3394442404
625	0.3392129755
626	0.3390771051
627	0.3390063206
628	0.3389585736
629	0.3388086717
630	0.3386543319
631	0.3385598219
632	0.3384604519
633	0.3382779061
634	0.3381450231
635	0.33794101
636	0.3377890372
637	0.337506083
638	0.3373833968
639	0.3372671304
640	0.3370976441
641	0.3368099989
642	0.3366782344
643	0.3365185137
644	0.3364456301
645	0.3363081081
646	0.3361484779
647	0.3360896961
648	0.3359588007
649	0.3357922225
650	0.3356426145
651	0.3355370403
652	0.3354334971
653	0.3352476912
654	0.3352180018
655	0.3350131193
656	0.33490017
657	0.3347802415
658	0.3345205138
659	0.3343221603
660	0.3340956133
661	0.3339984676
662	0.3339009296
663	0.3337237805
664	0.3336304471
665	0.3334209507
666	0.333349989
667	0.3332706025
668	0.3331122549
669	0.3329276809
670	0.3327773151
671	0.3326331097
672	0.3325324497
673	0.3322834366
674	0.3320854044
675	0.3320385692
676	0.3318411062
677	0.3317056756
678	0.3315443317
679	0.3313738618
680	0.3312447672
681	0.3311235948
682	0.3310264507
683	0.3308783933
684	0.330733249
685	0.3306586967
686	0.3305199236
687	0.3302869404
688	0.3301360525
689	0.3299944212
690	0.3298954864
691	0.3297826616
692	0.3296756269
693	0.3294924952
694	0.3293640158
695	0.3291639863
696	0.3289871914
697	0.3289253418
698	0.3287266707
699	0.3285496694
700	0.328430984
701	0.3282782968
702	0.3281552957
703	0.3279606331
704	0.3278436193
705	0.3276596767
706	0.3275646086
707	0.3273433971
708	0.3272054716
709	0.3270256139
710	0.3269675884
711	0.3268688963
712	0.3266571386
713	0.3265401708
714	0.3265091379
715	0.3263463913
716	0.3261493673
717	0.3260563812
718	0.3259059126
719	0.3258063838
720	0.3256988261
721	0.3255603157
722	0.3254268736
723	0.3252614561
724	0.3250560951
725	0.3249185753
726	0.3248715636
727	0.3247227921
728	0.3245900901
729	0.3244255428
730	0.324248689
731	0.3241063425
732	0.3240222144
733	0.3237629033
734	0.3236225415
735	0.323437281
736	0.3232510315
737	0.3231460577
738	0.3230104746
739	0.3227580828
740	0.3226434558
741	0.3224735046
742	0.3223149046
743	0.3222143648
744	0.322136086
745	0.3219641738
746	0.3218226918
747	0.321571055
748	0.321470898
749	0.3213935976
750	0.3212343484
751	0.3210701425
752	0.3208779099
753	0.3207640414
754	0.3205812131
755	0.320488446
756	0.3203140832
757	0.3201282354
758	0.3199649473
759	0.3198170222
760	0.3197277161
761	0.319501711
762	0.3193463186
763	0.3191560112
764	0.3190629758
765	0.3188858271
766	0.3187664674
767	0.3186182276
768	0.318508945
769	0.3183888134
770	0.3183063747
771	0.3182632723
772	0.3181589985
773	0.3179453425
774	0.3178322256
775	0.3176936516
776	0.3175905621
777	0.3174617373
778	0.3173149017
779	0.3172351666
780	0.3171812383
781	0.3170784425
782	0.3169354672
783	0.3168146504
784	0.316722452
785	0.3165771609
786	0.3164667428
787	0.3163728365
788	0.316305766
789	0.3162011183
790	0.3160597645
791	0.3159329759
792	0.3157993443
793	0.3157192077
794	0.3156129975
795	0.315456287
796	0.3153465259
797	0.3152329999
798	0.3150463084
799	0.3149421566
800	0.3148349494
801	0.3147630683
802	0.3145932052
803	0.3145358343
804	0.3143732238
805	0.3142458832
806	0.314061234
807	0.3139794837
808	0.3138819693
809	0.3137599551
810	0.3136420799
811	0.3135711883
812	0.3134850445
813	0.3133757116
814	0.3132403586
815	0.3131687925
816	0.3130213585
817	0.3129363953
818	0.312851896
819	0.3127232674
820	0.3126419832
821	0.3124949163
822	0.3122796781
823	0.3120890167
824	0.3120445027
825	0.3119725389
826	0.3118461699
827	0.3117422845
828	0.3116519041
829	0.3115295172
830	0.3113647167
831	0.3112163619
832	0.3110595626
833	0.3110007277
834	0.3108716195
835	0.3107647199
836	0.3106558456
837	0.3105236642
838	0.31037319
839	0.3102653403
840	0.3101459698
841	0.3100091333
842	0.3099317422
843	0.3098276582
844	0.3096385177
845	0.3094397225
846	0.3093103179
847	0.3092611425
848	0.3091277278
849	0.3090070675
850	0.3089209156
851	0.3088275246
852	0.3086833116
853	0.3085788774
854	0.3085076041
855	0.30833412
856	0.3082264248
857	0.3080693147
858	0.3079299291
859	0.3078483057
860	0.3077632796
861	0.3075773968
862	0.3073891386
863	0.3072460851
864	0.3070306803
865	0.3068894757
866	0.3068309475
867	0.3066993909
868	0.3065751033
869	0.3065446004
870	0.3063476696
871	0.3062652012
872	0.3061464876
873	0.3059720008
874	0.3058737552
875	0.305796901
876	0.305691599
877	0.3055819966
878	0.3053402904
879	0.305192471
880	0.3051085543
881	0.3050205763
882	0.3048971721
883	0.3047625578
884	0.3046049739
885	0.3044509615
886	0.3042961619
887	0.3041393385
888	0.3039832955
889	0.3038764782
890	0.3038037531
891	0.3036183053
892	0.3035742707
893	0.3034976989
894	0.3032983496
895	0.3032108158
896	0.3030595365
897	0.3028936226
898	0.3026868833
899	0.3025951578
900	0.3024726738
901	0.3024035545
902	0.3022620607
903	0.3020599927
904	0.3019883201
905	0.3018913723
906	0.3017030284
907	0.3015951899
908	0.3015021669
909	0.3013894714
910	0.3011682186
911	0.3010282647
912	0.3009523283
913	0.3008511791
914	0.3006508594
915	0.3005181121
916	0.3003719392
917	0.300229298
918	0.3001255139
919	0.3000261947
920	0.2999179441
921	0.2998052698
922	0.2997157377
923	0.2996280969
924	0.2995129323
925	0.2993814336
926	0.2992859566
927	0.2992350608
928	0.2991049997
929	0.299018937
930	0.2989704198
931	0.2988080584
932	0.2987376971
933	0.2986572757
934	0.2985719743
935	0.2984948705
936	0.2983882338
937	0.2981947587
938	0.2981591765
939	0.2980816794
940	0.2980268403
941	0.2979106649
942	0.2978333798
943	0.2977179658
944	0.2976591987
945	0.2975277524
946	0.2973574426
947	0.2972638548
948	0.2972355392
949	0.2971460517
950	0.2970454956
951	0.2968962469
952	0.2967922665
953	0.2967132097
954	0.2965470914
955	0.2964711147
956	0.2963339693
957	0.2962591163
958	0.2961969853
959	0.2961485479
960	0.2960738157
961	0.2959918383
962	0.2958357759
963	0.2957501658
964	0.2956921826
965	0.2955659951
966	0.2954266798
967	0.2953813038
968	0.2953001567
969	0.2952247397
970	0.2951271815
971	0.2950054199
972	0.2948881517
973	0.2947489841
974	0.2946652804
975	0.2945230467
976	0.2944305856
977	0.2942855434
978	0.2941565927
979	0.2941069523
980	0.294022536
981	0.2939880245
982	0.2939093697
983	0.2937923227
984	0.2936086745
985	0.2934802289
986	0.2934343077
987	0.2933320118
988	0.2932329703
989	0.2931125367
990	0.2928973431
991	0.2928085941
992	0.2927347315
993	0.2926382159
994	0.2925125937
995	0.2924112664
996	0.2922539001
997	0.2921980927
998	0.2920630882
999	0.2918966928
