iter	Passed	Remaining
411	3084	4401
412	3091	4393
413	3097	4385
414	3103	4374
415	3109	4365
416	3116	4356
417	3122	4348
418	3129	4339
419	3135	4329
420	3142	4321
421	3150	4314
422	3156	4305
423	3161	4295
424	3168	4286
425	3175	4279
426	3183	4271
427	3190	4264
428	3197	4255
429	3203	4246
430	3210	4237
431	3216	4228
432	3222	4219
433	3230	4213
434	3236	4203
435	3242	4194
436	3249	4186
437	3256	4178
438	3263	4170
439	3270	4162
440	3277	4154
441	3283	4145
442	3289	4136
443	3295	4127
444	3302	4118
445	3308	4110
446	3314	4101
447	3320	4091
448	3326	4082
449	3335	4076
450	3341	4067
451	3347	4058
452	3353	4049
453	3360	4041
454	3367	4033
455	3373	4024
456	3380	4016
457	3387	4008
458	3392	3998
459	3398	3989
460	3405	3981
461	3410	3971
462	3418	3964
463	3425	3956
464	3431	3947
465	3437	3938
466	3445	3932
467	3452	3924
468	3458	3916
469	3464	3906
470	3471	3899
471	3477	3890
472	3486	3884
473	3493	3877
474	3500	3868
475	3506	3859
476	3512	3850
477	3518	3842
478	3524	3833
479	3530	3824
480	3537	3816
481	3544	3809
482	3551	3801
483	3557	3792
484	3564	3785
485	3570	3776
486	3577	3768
487	3584	3760
488	3590	3752
489	3598	3745
490	3604	3737
491	3611	3729
492	3618	3721
493	3625	3713
494	3631	3704
495	3637	3696
496	3643	3687
497	3649	3678
498	3655	3670
499	3661	3661
500	3668	3653
501	3675	3646
502	3681	3637
503	3687	3629
504	3693	3620
505	3700	3612
506	3707	3604
507	3712	3595
508	3719	3588
509	3725	3579
510	3733	3572
511	3739	3564
512	3745	3555
513	3752	3547
514	3758	3539
515	3764	3530
516	3772	3524
517	3777	3515
518	3784	3507
519	3792	3500
520	3799	3493
521	3805	3484
522	3813	3477
523	3819	3469
524	3825	3461
525	3833	3454
526	3841	3447
527	3849	3440
528	3856	3433
529	3863	3425
530	3868	3416
531	3874	3408
532	3880	3400
533	3887	3392
534	3894	3384
535	3901	3377
536	3907	3368
