iter	MultiClass
0	2.073458244
1	1.886352381
2	1.726165639
3	1.610916453
4	1.514774719
5	1.416471446
6	1.333480362
7	1.265528902
8	1.200947353
9	1.142741659
10	1.089071184
11	1.039833452
12	0.9960205186
13	0.9530930318
14	0.9213810169
15	0.8892509049
16	0.8598547631
17	0.8278796649
18	0.8005074678
19	0.7738282847
20	0.7500614236
21	0.7257365976
22	0.7078015747
23	0.6879426632
24	0.6714249115
25	0.6510853118
26	0.6332272939
27	0.6147782115
28	0.5990133024
29	0.5844169739
30	0.5708027261
31	0.5567655597
32	0.5434993632
33	0.5326321106
34	0.5182460945
35	0.507372227
36	0.4964749923
37	0.4866494166
38	0.4755515681
39	0.4672245979
40	0.4568185878
41	0.4479408958
42	0.4410517999
43	0.4335109715
44	0.4274001876
45	0.4195260663
46	0.4129160767
47	0.4058392287
48	0.4001104798
49	0.3930661592
50	0.3857489809
51	0.3812773054
52	0.3756023189
53	0.3694227794
54	0.3643797823
55	0.359476216
56	0.3545368388
57	0.3486028118
58	0.3438249583
59	0.3388807573
60	0.3333902112
61	0.3277414764
62	0.3234815163
63	0.3193965567
64	0.3162036306
65	0.311929284
66	0.3094082306
67	0.3055408668
68	0.3024111148
69	0.3008302437
70	0.2969554064
71	0.2938873752
72	0.2903085667
73	0.2875383664
74	0.2856539228
75	0.2833840451
76	0.2799465933
77	0.2767150854
78	0.2723561084
79	0.271053961
80	0.2690118428
81	0.2670637191
82	0.2650470495
83	0.2630428557
84	0.2612262386
85	0.2587727987
86	0.2577916678
87	0.2550615903
88	0.2527995183
89	0.2520185089
90	0.2499867618
91	0.2483133866
92	0.2467713969
93	0.2445929706
94	0.2438562165
95	0.2435077577
96	0.2419507248
97	0.2400698008
98	0.237175943
99	0.2357609361
100	0.233875322
101	0.2326839111
102	0.2308631191
103	0.2303605771
104	0.229249997
105	0.227914343
106	0.2272829549
107	0.2255343546
108	0.2245830005
109	0.2235859615
110	0.2209991181
111	0.2205304504
112	0.2192403485
113	0.2178277883
114	0.2172621172
115	0.216961906
116	0.2161204721
117	0.2143340016
118	0.2130275634
119	0.2120614635
120	0.2114736403
121	0.2106470858
122	0.2095763631
123	0.2089785962
124	0.2082490926
125	0.207394927
126	0.2062288008
127	0.205230532
128	0.2038324467
129	0.2034513288
130	0.201585856
131	0.2013307663
132	0.2005415488
133	0.1999716558
