iter	RMSE
0	1.11031633
1	1.077510193
2	1.046210059
3	1.017429376
4	0.9888943221
5	0.9641598159
6	0.942963378
7	0.9212727559
8	0.9028007198
9	0.8837136067
10	0.8648683697
11	0.8480127585
12	0.832238265
13	0.8169756292
14	0.8022908818
15	0.7901515177
16	0.7795386518
17	0.7675411729
18	0.757826352
19	0.7455991977
20	0.7366640821
21	0.7282001836
22	0.7197005227
23	0.7101518704
24	0.7029566509
25	0.6939947831
26	0.6872522663
27	0.6812685336
28	0.6751626165
29	0.6683202665
30	0.6638035653
31	0.6589665714
32	0.6534925791
33	0.6500507352
34	0.6440476721
35	0.6399804386
36	0.6353383563
37	0.631567727
38	0.6265634999
39	0.6229418525
40	0.6199406573
41	0.6173132716
42	0.6130606549
43	0.6109822753
44	0.6085058129
45	0.6056914072
46	0.6015886382
47	0.598208228
48	0.5957265068
49	0.5938382365
50	0.5917013521
51	0.5877104227
52	0.5855363795
53	0.5837815085
54	0.5821322025
55	0.5803634494
56	0.5784895029
57	0.5770401815
58	0.5754378412
59	0.5739807208
60	0.5721676789
61	0.5696610719
62	0.5682546276
63	0.5658878077
64	0.5635782984
65	0.562509337
66	0.5608829433
67	0.5597968901
68	0.5585625436
69	0.5566876819
70	0.5545349934
71	0.5533949244
72	0.5526065601
73	0.5516988424
74	0.5507162853
75	0.5499347171
76	0.5491461938
77	0.5478861746
78	0.5461211814
79	0.5453288819
80	0.5437652643
81	0.5420355134
82	0.5409401239
83	0.5393602288
84	0.5379263479
85	0.5366844267
86	0.5360481434
87	0.5353676524
88	0.5347856894
89	0.5337441294
90	0.5329063178
91	0.5316729643
92	0.5310774296
93	0.529470448
94	0.5290031971
95	0.528040534
96	0.5268575137
97	0.5261569287
98	0.5256123992
99	0.5246378297
100	0.5230925264
101	0.5223130326
102	0.52161373
103	0.5209399569
104	0.5202646492
105	0.5198740079
106	0.5187169029
107	0.518222072
108	0.5177323066
109	0.5168809005
110	0.5165079118
111	0.5154129475
112	0.5144384708
113	0.5138829514
114	0.513563912
115	0.5131134793
116	0.5128647344
117	0.5119745786
118	0.5114876689
119	0.5109970047
120	0.5101455539
121	0.5094370371
122	0.5091502642
123	0.5088356856
124	0.5079045346
125	0.5073447061
126	0.5062411913
127	0.5052922281
128	0.5046224541
129	0.5040799276
130	0.5034460668
131	0.5028742375
132	0.5023572156
133	0.5019303844
134	0.5014828544
135	0.5009621982
136	0.5007014981
137	0.5001767299
138	0.4995085927
139	0.4990387816
140	0.4980309433
141	0.4975364715
142	0.4969342734
143	0.4960216797
144	0.4956158902
145	0.4950169204
146	0.4945529316
147	0.4943232437
148	0.4939226687
149	0.4933765147
150	0.4925967696
151	0.4918101337
152	0.4914648638
153	0.4910845209
154	0.4901759957
155	0.4894878522
